username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Tacoma News Tribune,8983922,"Tacoma, WA",2023-01-21 18:00:56,Don’t objections to the airport also apply to a homeless village? | Op-ed  https://t.co/ieTwZKRD4R,0,True Anthem,
Me-who-I-am🏳️‍🌈🏳️‍⚧️🇺🇸,1599403335970619392,"Tacoma, Washington ",2023-01-20 19:51:19,@komonews Not downtown they won’t. Might as well covert them into subsidized housing for inslees homeless friends,0,Twitter Web App,
Francis Touchette,1597561808105373696,"Tacoma, WA",2023-01-20 19:05:21,"@komonews @newsradionw Not with the political atmosphere of hate they created with crime, street thugs called the h… https://t.co/AYsTgNeGSB",0,Twitter for iPhone,
em,1636575878,"Tacoma, WA",2023-01-20 17:39:59,@mardirooster We are horrifying. The last time I was in San Francisco I saw a homeless man sleep on the ground outs… https://t.co/hN9CCeeYLD,0,Twitter for iPhone,
Gorilla Librarian,14194204,"Tacoma, WA",2023-01-20 16:44:11,@BrandonLBradfor Volunteer at an overnight homeless shelter. There's a lack of empathy in this country about the ho… https://t.co/SPzcIxdxxL,0,Twitter Web App,
Maegwin's Menagerie 💙,1159876457184686081,Tacoma,2023-01-20 15:54:37,"@spartan2600 @ScarletDatura @SeattleCentrist @choeshow ""Liberals who become Fascists on homeless issues."" Oh boy, I… https://t.co/CLJaNQPmqY",0,Twitter Web App,
Tacoma News Tribune,8983922,"Tacoma, WA",2023-01-20 02:00:52,Don’t objections to the airport also apply to a homeless village? | Op-ed  https://t.co/mH5ZstwaYM,1,True Anthem,
King for Every Day,1595272674745659392,"Tacoma, WA",2023-01-20 01:08:47,"@RushBabe49 @choeshow In other news, batshit crazy homeless woman continues to terrorize neighborhood while evil vi… https://t.co/h0uGqGqlv2",0,Twitter for iPhone,
Eskimo Misty,1431655658814771201,"Tacoma, WA",2023-01-19 23:37:57,@Kris65273906 There 3 homeless guys at this. Spot,0,Twitter for Android,
Kim Lucus,2685996686,"Tacoma, WA",2023-01-19 15:17:17,@SenatorTimScott @SenateGOP GO OUT ON YOUR STREETS AND LOOK AT THE HOMELESS AND PEOPLE GOING HUNGRY BECAUSE OF REPU… https://t.co/ECy7FPMdo6,0,Twitter for Android,
